département;canton;commune;x;y;UN_Mot;HOMME_Mot;NE_Mot;AVAIT_Mot;PAS_Mot;QUE_Mot;DEUX_FILS_Mot;FILS_Mot;LE_Mot;PLUS_Mot;JEUNE_Mot;QUE_E2_T11_Mot;DIT_Mot;À_Mot;SON_Mot;PERE_Mot;TEMPS_Mot;QUE_1_T12_Mot;JE_SOIS_Mot;MON_Mot;MAITRE_Mot;ET_QUE_J_AIE_Mot;AIE_Mot;DE_L_Mot;ARGENT_Mot;QUE_E_T13_Mot;FAUT_Mot;QUE_T13_Mot;JE_PUISSE_Mot;ALLER_Mot;ET_QUE_JE_VOIS_Mot;JE_VOIE_Mot;DU_Mot;PAYS_Mot;PARTAGEZ_Mot;VOTRE_Mot;BIEN_Mot;ET_DONNEZ_MOI_Mot;DONNEZ_Mot;CE_Mot;DOIS_Mot;AVOIR_Mot;OUI_Mot;MON_Mot.1;COMME_Mot;VOUDRAS_Mot;ES_Mot;UN_MECHANT_Mot;MECHANT_Mot;SERAS_Mot;PUNI_Mot;PUIS_Mot;OUVRANT_Mot;TIROIR_Mot;PARTAGEA_Mot;FIT_Mot;DEUXF_Mot;PARTS_Mot;EGALES_Mot;PEU_Mot;JOURS_Mot;APRES_Mot;LE_Mot;MECHANT_Mot;ALLA_Mot;DU_Mot;VILLAGE_Mot;EN_Mot;FAISANT_Mot;FIER_Mot;SANS_Mot;DIRE_Mot;ADIEU_Mot;A_Mot;PERSONNE_Mot;QUE_E1_T23_Mot;TRAVERSA_Mot;BEAUCOUP_Mot;LANDES_Mot;BOIS_Mot;RIVIERES_Mot;DANS_Mot;UNE_Mot;GRANDE_Mot;VILLE_Mot;OU_Mot;DEPENSA_Mot;TOUT_Mot;SON_Mot;ARGENT_Mot;BOUT_Mot;QUELQUES_MOIS_Mot;MOIS_Mot;VENDRE_Mot;SES_Mot;A_UNE_Mot;VIEILLE_Mot;FEMME_Mot;POUR_ETRE_Mot;ETRE_Mot;VALET_Mot
Gironde;Canton d'Auros;Auros-bis;-0.136507900855411;44.5041743282982;un;homme;n;aoué;NA;qué;dus;hills;lou;pu;jouen;NA;dit;à;soun;paï;tens;que;sye;moun;meste;é;aouyje;d;argen;NA;faou;qué;pousqui;ana;é;bési;ø;péis;partatjats;boste;ben;é;baillats;so;diouï;aoujé;o;moun;coume;bourras;es;un;méchant;seras;punit;puï;aoubrin;tirouare;partatiet;azout;dus;pourtiouns;esgales;quaouques;jouns;après;lou;méchan;angout;doù;bilatje;en;azen;fié;chen;dise;aiou;à;digün;ø;traousset;force;landes;boïs;ribères;dens;une;grande;bile;oun;despenset;tout;soun;argen;bout;caouqués;més;bende;ses;à ;bieille;fame;per;esta;baïlet
Gironde;Canton d'Auros;Auros;-0.14635;44.49491;un;homme;n;aoué;NA;qué;dus;hills;lou;pu;jouen;NA;dit;à;soun;paï;tens;que;sye;moun;meste;é;aouyje;ø;argen;NA;faou;qué;pousqui;ana;é;bési;ø;péïs;partatyats;boste;ben;é;baillats;so;dioui;aoujé;o;moun;coume;bourras;es;un;méchant;seras;punit;puï;aoubrin;tirouare;partatjet;azut;dus;pourtiouns;esgales;quaouques;jouns;après;lou;méchant;angout;doù;bilatje;en;azen;fié;chen;dise;adiou;à;digün;ø;traousset;force;landes;boïs;ribères;dens;une;grande;bile;oun;despenset;tout;soun;argen;bout;caouquès;mès;bende;ses;à ;bieille;fame;per;esta;baïlet
Gironde;Canton d'Auros;Barie;-0.1155487;44.5705801;unne;homme;n;aouè;NA;que;dus;drôles;lou;pu;june;NA;dichout;à;soun;paï;témps;que;sii;moun;meste;et;aoui;ø;argén;NA;faou;que;pousqui;ana;et;bési;ø;paiïs;partatyatz;boste;bén;et;baillatz;so;diouï;aoué;o;moun;coume;bourras;es;unne;méchant;seras;punit;püy;oubrin;tiréte;partattyèt;hazout;dus;pourciouns;égales;tchit;youns;aprèss;lou;méchant;angout;dou;bilattye;én;hazén;fiè;chén;dise;adiou;à;digunn;ø;traouèssèt;bien;landes;boïs;ribères;déns;une;grande;bile;oun;despénsèt;tout;soun;argén;bout;quaouques;més;bénde;sés;à ;biéille;fame;per;esta;baylét
Gironde;Canton d'Auros;Brannens;-0.15279;44.51995;un;homme;n;aouè;NA;qué;duz;ills;lou;pu;jouén;NA;dichout;à;soun;pay;témps;qué;sy;moun;mèste;et;aouji;ø;argén;NA;faou;que;pousqui;ana;et;bézi;ø;péis;partatiaz;boste;béng;et;baillatz;so;dioui;aoué;oui;moun;coume;bourras;es;un;méchan;seras;punit;puy;aoubrin;tirette;partatjèt;hasout;dus;pourtiouns;égales;quaouques;jouns;après;lou;méchan;angout;doù;bilatje;én;hazén;fiè;chén;dise;adioü;en;digun;ø;traouaset;bien;lanes;boys;ribères;déns;une;grande;bile;oun;déspénsèt;tout;soun;argént;bout;quaouques;més;bénde;sés;én d;bieille;femme;pér;esta;baylet
Gironde;Canton d'Auros;Castillon-de-Castets;-0.1157605;44.5496307;un;homme;n;aoué;NA;que;dux;gouyats;lou;pu;jouèn;NA;dichout;à;soun;paey;tèms;que;sii;moun;meste;et;aoui;ø;argèn;NA;faout;que;pusqui;ana;et;bési;ø;péis;partatdiats;boste;bèn;et;baillats;ce;dioui;aoué;o;moun;coum;bourras;es;un;mechant;seras;punit;labest;oubrin;tirette;partatdiet;hâzout;dux;pourtiouns;égales;quaouque;jours;après;lou;mechant;engout;doù;bilatche;èn;hazèns;fié;chèn;dise;adiou;én;digun;ø;traouesset;bocop;landes;boys;ribères;déns;une;grande;bille;oùn;déspénset;tout;soun;argent;bout;quaouque;més;bénde;ses;èn d;bieille;famme;per;NA;baylet
Gironde;Canton d'Auros;Coimères;-0.2093256;44.4959576;un;homme;n;aouè;NA;qué;dus;hils;lou;pus;jouén;NA;dit;à;soun;paï;témps;qué;si;moun;maisté;et;aouji;ø;argén;NA;faou;qué;pousqui;ana;et;bézi;ø;pays;partatgeats;boste;bén;et;baillats;ço;dioui;aoué;oui;moun;coume;bourras;es;un;méchant;séras;punit;apuy;daoubrit;tirète;partatgeait;hasout;dus;parts;esgales;quaouqués;jouns;après;lou;méchant;angout;dou;villatgé;én;hasén;fiere;chan;disé;adiou;en;digun;ø;traouessait;bien;lanes;boïs;arribères;déns;une;grande;bille;oun;déspénsait;tout;soun;argén;bout;quaouqués;més;béndé;ses;én d;bieille;femme;père;esta;beylet
Gironde;Canton d'Auros;Lados;-0.14857;44.46692;un;homme;n;aouè;NA;que;dus;hils;lou;pu;jouén;NA;dissout;à;soun;paï;téms;qué;siï;moun;meste;ié;aouji;ø;argén;NA;faou;qué;pousqui;ana;ié;bési;ø;péïs;partatjats;boste;bén;ié;baillats;so;dioui;aoujé;o;moun;coume;bourras;es;un;méchan;seras;punit;apuy;aoubrit;tirouare;partatjet;asout;dus;pourtiouns;esgales;quaouques;jouns;après;lou;méchan;angout;dou;bilatge;én;azén;fiè;chan;dise;adiou;à;digun;ø;traouéssèt;bien;lanes;boïs;ribères;déns;une;NA;bile;oun;déspensèt;tout;soun;argén;bout;quaouques;més;bende;ses;à ;bieille;fimelle;pér;éstá;baïlét
Gironde;Canton d'Auros;Pondaurat;-0.0882453;44.5363986;un;homme;n;aouè;NA;qué;dus;gouyats;lou;pu;jouén;NA;dichout;à;soun;paï;téms;qué;sié;moun;meste;é;aouji;ø;argén;NA;faou;qué;pousqui;ana;é;bési;ø;pays;partatyats;boste;bén;é;baillats;so;dioui;aoué;oui;moun;coume;bourras;es;un;méchant;séras;punit;puï;daoubrin;tiroire;partatyait;hasout;dus;pourtiouns;égales;chic;jouns;après;lou;méchant;angout;dou;bilatye;én;hasén;fiè;chén;dise;adiu;én;digun;ø;traouéssait;bocop;lanes;boïs;ribères;déns;une;grande;bile;oun;despensait;tout;soun;argén;bout;quaouqués;més;bénde;ses;à ;bieille;fame;per;esta;baylet
Gironde;Canton d'Auros;Puybarban;-0.0762307;44.5529213;un;home;n;aouè;NA;que;dus;gouyats;lou;pu;jouen;NA;dichout;à;soun;pay;tens;qué;sy;moun;meste;et;aougy;ø;argén;NA;faou;que;pousqui;ana;é;bési;ø;péys;partatyats;boste;bén;é;baillats;ço;dioui;aoué;o;moun;coume;bourras;es;un;mechan;seras;punit;NA;aoubrin;tiroir;partatyèt;hasout;dus;pourtiouns;égales;quaouque;jouns;après;lou;mechan;angout;NA;NA;én;hasén;fiè;chén;dise;adiou;à;digun;ø;traouessèt;bién;lanes;boys;ribères;déns;une;grande;bile;oun;despénsèt;tout;soun;argént;bout;quaouque;més;bénde;sés;à ;biéille;fame;pr;esta;baylét
Gironde;Canton d'Auros;Savignac;-0.1085119;44.5224638;unn;homme;n;aouè;NA;qué;dus;gouyats;lou;pu;jouen;NA;disout;à;soun;päy;témps;que;siyi;moun;meste;et;aougi;ø;argént;NA;faou;qué;pousqui;ana;et;bési;ø;pays;partatyats;boste;bén;et;baillats;cé;dioui;aoué;oui;moun;coume;bourras;es;unn;méchant;séras;punit;epüy;daoubrit;tiroir;partatyet;hasoutt;duoues;pourtions;égales;gayre;jouns;aprèss;lou;méchant;angout;dou;bilatye;en;hasén;fiè;chan;dise;adiu;à;digün;ø;traouésait;bién;lanes;böis;ribères;dén;un;grande;bille;oun;déspénsait;tout;soun;argén;bout;quaouques;més;bénde;ses;à ;biéille;femme;pér;esta;beylét
Gironde;Canton d'Auros;Sigalens;-0.04571;44.44909;un;homme;n;aouë;NA;qué;dus;hills;lou;pu;jouénn;NA;disout;à;soung;päy;téms;qué;syï;moung;meste;et;aougi;ø;argénn;NA;faou;qué;pousqui;ana;et;bésy;ø;péïs;partadjats;boste;béng;et;baillats;so;diouy;aoué;oui;moung;coume;bourras;es;ung;méchann;séras;punit;püy;aoubrit;tiroir;partadjèt;hazout;duoues;pourtioungs;pareilles;tchic;jouns;après;lou;méchann;angout;dou;bilatge;én;hasén;fiè;chann;dise;adiou;à;digung;ø;traouéssèt;bièn;lanes;böis;ribères;déns;une;grande;bile;oun;déspénsèt;tout;soun;argénn;cap;quaouques;més;bénde;ses;énn d;biéille;fimèle;per;esta;béylét
Gironde;Canton de Bazas;Bazas-bis;-0.206311205688437;44.4330007122249;un;homme;n;aoué;NA;qué;dus;ills;lou;pu;jouen;NA;dissout;à;soun;pay;temps;qué;sy;moun;meste;et;aouji;ø;mounède;NA;faou;qué;pousqui;ana;et;besi;ø;pays;partadjats;boste;ben;et;bailladts;so;dioui;aoujé;oui;moun;coume;bourras;ès;un;méchant;séras;punit;après;oubrin;tiréte;partadjet;asout;dus;parts;esgales;tchic;jouns;après;lou;méchant;engout;dou;viladge;en;asout;fière;chen;dise;aré;en;digun;ø;traouerset;betcop;lanes;boys;ribères;dens;une;grande;ville;oun;despenset;tout;soun;argén;bout;quaouques;més;bende;ses;à ;vieille;fimelle;per;este;beylet
Gironde;Canton de Bazas;Bazas;-0.2126009;44.4320456;un;homme;n;aoué;NA;qué;dús;hills;lou;pu;jouén;NA;dichout;à;soun;pay;téms;qué;si;moun;meste;et;aouji;ø;argén;NA;faou;qué;pousqui;ana;et;bési;ø;pays;partadjats;boste;ben;et;baillats;so;dioui;aoué;oui;moun;coum;bourras;es;un;méchan;séras;punit;puy;aoubrin;tirétte;partadjèt;hasout;dus;parts;ésgales;tchic;jouns;après;lou;méchan;angout;dou;biladje;én;han;lourious;chen;dise;adiu;en;digun;ø;traouésset;bocop;lanes;boys;ribères;déns;une;grande;bille;oun;déspensèt;tout;soun;argèn;bout;quaouques;mès;bende;ses;en d;bieille;fimelle;pr;esta;béylét
Gironde;Canton de Bazas;Bernos-Beaulac;-0.2424157;44.3718493;un;homme;NA;aouè;NA;NA;dus;hills;lou;pu;jouén;NA;dissout;à;soun;pay;tèms;qué;si;moun;mèste;et;aouji;ø;argén;NA;faou;qué;pousqui;ana;et;bési;ø;pays;partatgeats;boste;bèn;et;baïllats;so;dioui;aoué;oui;moun;coum;bouillis;es;un;méchan;sras;punit;puy;aoubrin;tiroire;partatget;hit;dus;pourtiouns;ésgales;tchic;jouns;apuy;lou;méchan;angout;dou;billatge;én;hasén;fière;chèn;dise;arré;én;digun;ø;traouassèt;hort;lanes;boys;ribères;déns;une;grande;bile;oun;déspénsèt;tout;soun;argén;bout;quaousques;més;bénde;sés;énd;biéille;hémne;pér;ésta;bèylét
Gironde;Canton de Bazas;Birac;-0.1333;44.4167;ün;ome;n;aouè;NA;qué;dus;hills;lou;pu;jouén;NA;disout;à;soun;pay;témps;que;sie;moun;mèste;é;aouji;ø;argén;NA;faou;qué;pousqui;ana;é;bési;ø;péïs;partatgeats;boste;bén;é;baillats;so;dioui;aoujé;oui;moun;coume;bourras;ès;ün;méchant;séras;punit;apuy;aoubrin;tiréte;partatgèt;asout;dus;pourtiouns;égales;tchic;jouns;après;lou;méchant;angout;dou;bilatge;én;asén;fiè;chan;dise;adïou;à;digün;ø;traouéssèt;frém;lanes;boys;ribères;dén;une;grande;bile;oun;déspénsèt;tout;soun;argén;bout;quaouques;més;bénde;ses;é ;biéille;hémne;pér;ésta;baylét
Gironde;Canton de Bazas;Cazats;-0.20796;44.47151;un;homme;n;aouè;NA;qué;dus;hills;lou;pu;jouen;NA;dichout;à;soun;pay;temps;qué;si;moun;meste;et;aouji;ø;argen;NA;faou;qué;pousqui;ana;et;bési;ø;pays;partatjats;boste;ben;et;baillats;ço;dioui;aoué;oui;moun;coume;bourras;es;un;méchant;seras;punit;apuy;aoubrit;tiroir;partatjait;hit;dus;parts;esgales;quaouques;jouns;après;lou;méchant;angout;NA;NA;en;han;fié;chen;dise;adieu;en;digun;ø;traouessait;betcops;lanes;boys;arribères;dens;une;grande;bile;ount;déspenset;tout;soun;argen;bout;quaouques;mes;bende;ses;en d;bielle;hemne;per;esta;beylet
Gironde;Canton de Bazas;Cudos;-0.2198757;44.3884376;un;homme;n;aouè;NA;qué;dus;hils;lou;pu;jouén;NA;dichout;à;soun;pay;temps;qué;sie;moun;mèste;et;aouji;ø;argén;NA;faou;qué;pousqui;ana;et;bési;ø;péis;partatgeats;boste;bén;et;baillats;ço;dioui;aoué;oui;moun;coum;bourras;ès;un;méchan;séras;punit;apuy;aoubris;tiroir;partatgèt;hit;duoues;pourtiouns;ésgales;caouques;jouns;apuy;lou;méchan;angout;dou;bilatge;én;hèsén;lourious;chan;dise;adiou;à;digun;ø;traouassèt;frém;lanes;boys;ribères;dén;une;grande;bile;oun;déspénsèt;tout;soun;argén;cap;caouques;més;bénde;sés;à ;biéille;fième;pér;ésta;bèylét
Gironde;Canton de Bazas;Gajac;-0.1333;44.4333;un;ome;n;aoué;NA;qué;dus;ills;lou;pu;jouén;NA;dissout;à;soun;pay;téms;qué;sye;moun;maîste;et;aouji;ø;argén;NA;faou;qué;pousqui;ana;et;bési;ø;péïs;partayats;bosté;bién;et;baillats;so;dioui;aoué;oui;moun;coum;bouras;es;un;méchant;sras;punit;apuy;aoubrin;tiréte;partayait;azout;duous;pourtiouns;égales;caouques;jouns;après;lou;méchant;angout;dou;bilatye;én;asén;fié;chén;dise;adieu;en;digun;ø;traouessait;bien;lanes;boys;ribères;déns;une;grande;bile;oun;déspénsait;tout;soun;argén;bout;caouques;més;bénde;ses;à ;bieille;fimelle;pr;esta;baylet
Gironde;Canton de Bazas;Gans;-0.14666;44.45526;un;homme;n;aouê;NA;qué;dus;hills;lou;pu;jouén;NA;dissout;à;soun;paÿ;hore;qué;sye;moun;mèste;et;aougi;ø;argént;NA;faou;qué;pousqui;ana;ét;bési;ø;pays;partatjats;boste;bén;et;baillats;ço;dioui;aoué;oui;moun;coume;bouillis;ès;ün;méchant;séras;punit;puÿ;oubrin;tirétte;partatgêt;hasout;dus;parts;ésgales;tchic;jouns;aprèss;lou;méchant;angout;dou;billatge;én;hasén;fiê;chan;dise;adichats;én;digun;ø;trâouéssêt;bocop;landes;boïs;ribères;déns;une;grande;bille;oùn;déspénsèt;tout;soun;argént;bout;quaouques;més;bénde;ses;én d;bieille;fimelle;pér;este;beylet
Gironde;Canton de Bazas;Le Nizan;-0.2804981;44.4709557;ung;homme;n;aoué;NA;que;dus;gouyats;lou;pu;jouén;NA;dichout;à;soung;pay;téms;que;si;moung;meste;et;agi;ø;argén;NA;faou;que;pousqui;ana;et;bési;ø;pays;partatgeats;boste;béng;et;baillats;so;dioui;aoué;o;moung;coum;bourras;es;ung;machann;sras;punit;labets;aoubrinn;tiroire;partatgeait;hit;duoues;pourtiouns;esgales;tchic;jouns;aprèss;lou;machann;angout;dou;bilatge;énn;haséns;fière;chann;dise;adichats;énn;digung;ø;traoussait;frém;lanes;boys;ribères;déns;une;grande;bile;oun;despénsait;tout;soun;argén;bout;caouques;més;bénde;sés;énn d;biéille;hémne;pr;esta;beylet
Gironde;Canton de Bazas;Lignan-de-Bazas;-0.2756822;44.4350089;ung;hommé;n;ahoué;NA;que;duss;ills;lou;pu;jouhèn;NA;dichoutt;à;soung;païc;tèms;qué;sit;moung;meste;et;aji;ø;argèn;NA;faou;que;pousqui;ana;et;bési;ø;payss;partadjiatts;boste;being;et;baillatts;ce;dihoui;ahoué;oui;moung;coum;bourass;es;ung;méchann;serass;punitt;aprèss;aoubrit;tiroir;partadjiett;hitt;duss;partts;pareilless;quaouqué;jouns;apress;lou;méchann;engoutt;dou;billatge;ein;asèn;crane;crane;dise;adiu;ein;digung;ø;trahouèssett;biein;lanness;boïss;ribeyress;deinz;une;grande;bille;oùn;desspensett;toutt;soung;argèn;boutt;quaouquess;mess;beinde;ses;ein d;bieille;hemne;per;esta;beylett
Gironde;Canton de Bazas;Saint-Côme;-0.1812926;44.4247965;un;homme;n;aouè;NA;qué;dus;hills;lou;mey;jouén;NA;dichout;à;soun;paï;tèms;qué;si;moun;maiste;et;aouji;ø;argén;qué;faou;qué;pousqui;ana;et;bési;ø;paiis;partatgeats;boste;bèn;et;baillats;ço;dioui;aoué;oui;moun;coume;bourras;ès;un;méchant;séras;punit;pui;aoubrit;tiroir;partatgeait;hit;dus;pourtiouns;esgales;quaouqués;jouns;après;lou;méchant;angout;dou;billatge;én;hèn;fière;chén;dise;arré;én;digun;qué;traouassait;frèm;lanes;boïs;ribères;déns;une;grande;bile;oun;déspénsait;tout;soun;argén;bout;quaouqués;més;bénde;ses;én d;biéille;hémne;NA;NA;beylet
